station_id,station_zone,station_name,station_category,is_hq,is_chi_sm,HQ,has_indoor_task,has_outdoor_task,is_common,is_active
189,Banka Ghat,BKG,E,No,Yes,PNC,No,Yes,Yes,Yes
190,Sadisopur,SDE,E,No,Yes,DNR,Yes,Yes,Yes,Yes
191,Koilwar,KWR,E,No,Yes,DNR,Yes,Yes,Yes,Yes
192,Bakthiyarpur Link,BKPL,E,No,Yes,BKP,No,Yes,Yes,Yes
193,Sachivalay,SCY,E,No,Yes,NONE,Yes,Yes,Yes,No
194,Block Hut C,BHC,E,No,Yes,DNR,Yes,Yes,Yes,Yes
195,Bansipur,BSQP,E,No,Yes,KIUL,No,Yes,Yes,Yes
196,Bhalui,BFM,E,No,Yes,NONE,Yes,Yes,Yes,No
197,Choura,CUX,E,No,Yes,NONE,Yes,Yes,Yes,No
198,Dadpur,DPX,E,No,Yes,NONE,Yes,Yes,Yes,No
199,Mankatha,MKB,E,No,Yes,MKA,No,Yes,Yes,Yes
200,Rajandra Pul,RJO,E,No,Yes,MKA,No,Yes,Yes,Yes
201,Rampur Dumra,RDUM,E,No,Yes,MKA,No,Yes,Yes,Yes
202,Tall,TAL,E,No,Yes,MKA,Yes,Yes,Yes,No
203,Hathidah upper ( Link),LINK,E,No,Yes,MKA,No,Yes,Yes,Yes
204,Banahi,BYN,E,No,Yes,ARA,No,Yes,Yes,Yes
205,Baghi Bardiha,BBE,E,No,Yes,NONE,Yes,Yes,Yes,No
